CITY,SCRAPE,ID,URL
Ballarat,N,19067,https://cricheroes.in/past-matches/19067/Ballarat
Ballarpur,N,2745,https://cricheroes.in/past-matches/2745/Ballarpur
Ballia,N,4594,https://cricheroes.in/past-matches/4594/Ballia
Bally,N,5348,https://cricheroes.in/past-matches/5348/Bally
Balmain (Australia),N,18924,https://cricheroes.in/past-matches/18924/Balmain%20(Australia)
Balod,N,882,https://cricheroes.in/past-matches/882/Balod
Baloda,N,883,https://cricheroes.in/past-matches/883/Baloda
Baloda Bazar,N,884,https://cricheroes.in/past-matches/884/Baloda%20Bazar
Balotra,N,47,https://cricheroes.in/past-matches/47/Balotra
Balrampur,N,4595,https://cricheroes.in/past-matches/4595/Balrampur
Balugaon,N,3216,https://cricheroes.in/past-matches/3216/Balugaon
Balurghat,N,5349,https://cricheroes.in/past-matches/5349/Balurghat
Balussery,N,2099,https://cricheroes.in/past-matches/2099/Balussery
Balwyn,N,19068,https://cricheroes.in/past-matches/19068/Balwyn
Bambolim,N,991,https://cricheroes.in/past-matches/991/Bambolim
Bamhani,N,2352,https://cricheroes.in/past-matches/2352/Bamhani
Banapur,N,3217,https://cricheroes.in/past-matches/3217/Banapur
Banarsi,N,885,https://cricheroes.in/past-matches/885/Banarsi
Banaskantha,N,1080,https://cricheroes.in/past-matches/1080/Banaskantha
Banda (Madhya Pradesh),N,2355,https://cricheroes.in/past-matches/2355/Banda%20(Madhya%20Pradesh)
Banda (Uttar Pradesh),N,4597,https://cricheroes.in/past-matches/4597/Banda%20(Uttar%20Pradesh)
Bandarulanka,N,306,https://cricheroes.in/past-matches/306/Bandarulanka
Bandel,N,5352,https://cricheroes.in/past-matches/5352/Bandel
Bandikui,N,48,https://cricheroes.in/past-matches/48/Bandikui
Bandipora,N,20065,https://cricheroes.in/past-matches/20065/Bandipora
Bandipur,N,1519,https://cricheroes.in/past-matches/1519/Bandipur
Bandora,N,992,https://cricheroes.in/past-matches/992/Bandora
Banga,N,3381,https://cricheroes.in/past-matches/3381/Banga
Banganapalle,N,307,https://cricheroes.in/past-matches/307/Banganapalle
Bangaon,N,5353,https://cricheroes.in/past-matches/5353/Bangaon
Bangarapet,N,1783,https://cricheroes.in/past-matches/1783/Bangarapet
Bangarmau,N,4598,https://cricheroes.in/past-matches/4598/Bangarmau
Bangawan,N,2356,https://cricheroes.in/past-matches/2356/Bangawan
Bangura,N,3218,https://cricheroes.in/past-matches/3218/Bangura
Banjar,N,1448,https://cricheroes.in/past-matches/1448/Banjar
Banka,N,737,https://cricheroes.in/past-matches/737/Banka
Banki (Odisha),N,3219,https://cricheroes.in/past-matches/3219/Banki%20(Odisha)
Bankura,N,5355,https://cricheroes.in/past-matches/5355/Bankura
Banmankhi,N,738,https://cricheroes.in/past-matches/738/Banmankhi
Bansda,N,1081,https://cricheroes.in/past-matches/1081/Bansda
Banswada,N,4441,https://cricheroes.in/past-matches/4441/Banswada
Banswara,N,49,https://cricheroes.in/past-matches/49/Banswara
Bantwal,N,1786,https://cricheroes.in/past-matches/1786/Bantwal
Bapatla,N,308,https://cricheroes.in/past-matches/308/Bapatla
Bar Bigha,N,739,https://cricheroes.in/past-matches/739/Bar%20Bigha
Barabanki,N,4603,https://cricheroes.in/past-matches/4603/Barabanki
Baragaon,N,4604,https://cricheroes.in/past-matches/4604/Baragaon
Baramati,N,2746,https://cricheroes.in/past-matches/2746/Baramati
Baramula,N,1521,https://cricheroes.in/past-matches/1521/Baramula
Baramulla,N,1522,https://cricheroes.in/past-matches/1522/Baramulla
Baran,N,50,https://cricheroes.in/past-matches/50/Baran
Barasat,N,5363,https://cricheroes.in/past-matches/5363/Barasat
Baraut,N,4605,https://cricheroes.in/past-matches/4605/Baraut
Barbil,N,3221,https://cricheroes.in/past-matches/3221/Barbil
Barcelona,N,19940,https://cricheroes.in/past-matches/19940/Barcelona
Barddhaman,N,5364,https://cricheroes.in/past-matches/5364/Barddhaman
Bardoli,N,1083,https://cricheroes.in/past-matches/1083/Bardoli
Bareilly,N,4606,https://cricheroes.in/past-matches/4606/Bareilly
Baretta,N,3383,https://cricheroes.in/past-matches/3383/Baretta
Bargarh,N,3222,https://cricheroes.in/past-matches/3222/Bargarh
